GeneSymbol	P43_HG	P56_bulge	P56_HG	P69_bulge	P69_HG
Tardbp	0.418031597842798	-0.153680184499464	0.483171391837787	-0.0748470566556012	0.185295874445774
Tars	0.427723473641235	-0.0540985098078277	0.175421308169632	-0.0588683943771695	-0.214577878092129
Tars2	0.63994072438082	0.196059660967689	0.645561018146474	-0.297905013697615	-0.3777689390354
Tas1r1	NA	NA	NA	NA	NA
Tas1r2	NA	NA	NA	NA	NA
Tas1r3	NA	NA	NA	NA	NA
Tas2r105	NA	NA	NA	NA	NA
Tas2r108	NA	NA	NA	NA	NA
Tas2r119	NA	NA	NA	NA	NA
Tasp1	0.130244018817859	-0.0624637246498954	-0.759059233210512	-0.216636016670865	-0.233632837995179
Tat	NA	NA	NA	NA	NA
Tax1bp1	-0.0619160741765352	-0.151752214872729	-0.200962537480395	0.286094598706665	-0.145685175229698
Tax1bp3	-0.150492370857608	0.34805752495129	0.0233633641864461	0.160294484935402	-0.662844871035288
Taz	-0.452628381827788	0.122190151954376	0.122190151954376	-0.0750995694565937	0.192539199443118
Tbata	NA	NA	NA	NA	NA
Tbc1d1	0.620765604454729	0.286456117705395	0.286456117705395	-0.208244693703961	1.11361074350889
Tbc1d10a	-0.471157742004978	0.377025437434295	-0.0498768625554415	0.0981617495209317	NA
Tbc1d10b	0.226991109857986	0.231852657368021	-0.122260769187475	0.0815883657542287	-0.547836697331885
Tbc1d13	NA	NA	NA	NA	NA
Tbc1d14	0.307978062247104	0.0943800708494287	-0.116726316862135	-0.139160001778048	0.357663678432797
Tbc1d15	-0.110576249149168	0.066491691368332	-0.262814394139585	0.371512517187299	0.338229483144216
Tbc1d17	-0.108120984915473	0.0806282189228718	0.0394421282588091	0.386388154046996	-0.606468087646407
Tbc1d19	-2.0450813084648	-0.0742792163517763	-0.67477741809857	-0.229461372610521	-1.6721110944981
Tbc1d20	-0.456834992804405	-0.0531929850732316	-0.26410830101256	-0.0103811140743844	0.149395626439903
Tbc1d22a	0.362124614829847	-0.0151921742063221	0.398373165180075	0.00551062089408116	0.442385940037072
Tbc1d23	-0.0473616151030307	-0.171871955435579	-0.592070859103497	0.223794433420461	-0.197738546682602
Tbc1d24	NA	NA	-0.776406060892836	-0.266230423160998	NA
Tbc1d8	-0.416156359147287	0.250297753580952	-0.538899713421724	0.507505053744532	-0.00172093054837674
Tbc1d8b	NA	NA	NA	NA	NA
Tbca	0.0437308001604473	0.00320155948697165	0.0163505806281563	-0.0656930492508767	0.0640963309605618
Tbcb	-0.33393706653626	0.145354542150718	-0.445557956467592	-0.248347103304216	-0.49231424906915
Tbcc	0.301247765125225	0.179950975681359	-0.0603434073222431	-0.178552563986209	-0.91977848922694
Tbcd	-0.143895003267341	0.0732025570442056	0.0607759718372574	-0.166641791871617	0.179178693220615
Tbce	-0.627267293761212	-0.100130061097984	0.0800596912056779	-0.370369918318973	0.068047655468936
Tbcel	0.346192488880582	0.072712639898822	0.71350591040822	0.228488407513858	0.604408038338438
Tbk1	0.701520191185156	-0.0227824557197538	-0.0315220242502683	0.460153895041683	0.926412177461456
Tbl1x	0.0272006031740748	-0.0279119300140724	-0.00499513781379157	-0.00941097615084718	-0.253658364184643
Tbl1xr1	0	0.213683638533956	-0.623409151223796	0.214274070115621	0.172417367402852
Tbl2	1.24576134366659	0.201078023322456	-0.153961622433905	0.0650383242893104	0.111178952360044
Tbl3	0.396191770012134	0.0467468820111128	0.0582960655202731	-0.0805987138879223	NA
Tbp	-0.272342548508089	-0.0915751538972795	-0.154284713150423	0.117914835188685	-0.651963469080113
Tbpl1	0.528048254798342	-0.18513954882891	0.93411383839441	0.231046372892589	0.0285988610460537
Tbr1	NA	NA	NA	NA	NA
Tbrg1	0.65424171018177	-0.030522886220071	-0.0976330490446458	0.199473789104804	0.210881419162469
Tbrg4	0.266287412392639	0.084756449577462	0.687180883996441	0.0749991898595668	0.21594948709399
Tbx1	-2.21295698262835	0.129299875706293	-1.2755912963354	0.088360633170101	-2.09110397455666
Tbx15	NA	NA	NA	NA	NA
Tbx18	NA	NA	NA	NA	NA
