gene	log2FoldChange
Tmod3	-0.413001862
Cenpk	1.740530112
Mmp27	1.63642887
Fnip2	-0.668262914
Fut1	1.161625237
Sacs	1.61530152
Frk	0.85022109
Tln1	-0.488525346
Adi1	0.856564064
Mettl10	0.853652301
Smad9	-0.744411668
Pdxk	-0.700525826
Dpf1	-0.73650348
Zfp948	-0.698965846
Kcnip3	1.738304367
Ptk2b	-0.764859777
Zdhhc2	-0.819613078
Eif2ak3	-0.738767567
Mfsd2b	1.653930212
Rassf1	-0.560027675
Tmem42	1.027142925
Mxd3	1.597635343
Ifi30	-0.574606927
Pvr	-0.620109482
Rnd1	-0.793596645
Zfp941	-1.172693021
Bcl6	-0.448785998
Myo9a	-0.456417726
Cxcl1	0.791523684
Ldlrad4	1.020765819
Ralgps2	0.563800453
Tenc1	-0.538707754
Ttll7	-0.586316845
Zdhhc8	-0.493280866
Pkp4	0.595598659
Drp2	1.380124762
Mcm4	0.588215772
Rb1	-0.581290059
Ephb4	-0.51678825
AI846148	-0.584742628
Chd6	-0.445155712
Apopt1	0.869769668
Ccdc171	0.961720164
Krtap17-1	-0.963710644
Junb	-0.512205007
Ankrd13a	-0.497907204
Doc2b	-0.898461534
Lmbrd1	-0.515579565
Stk10	-0.929082281
Ttll4	-0.547263643
Abl2	-0.585869766
Ppfibp1	-0.491149019
Stfa3	-1.079869232
Ccdc18	1.313622752
Cnpy4	-0.790500698
Gbp2	0.832876887
Hsf2	0.67305344
Grb14	0.846773626
Elf4	-0.509730827
Herpud1	0.736865423
Lmbr1l	-0.524913718
Slc16a11	1.353086381
Lrrc31	-1.366025049
Lyn	1.656721694
Ostc	0.680804982
Pole	1.015080425
Irf4	1.623225898
Pom121	-0.489049875
Timm13	0.549844625
2410016O06Rik	-0.5861503
9330162012Rik	0.818130536
Lyz1	1.581833498
Mapkapk2	-0.554962551
Myd88	0.485264714
Ypel3	0.605712968
Rgcc	0.96141019
Kansl1l	-0.489575382
Pfn1	-0.392004789
Krt6a	-0.683250052
Pcnt	-0.489569431
Arvcf	-0.480028423
Ubap1	-0.539152861
Krcc1	0.644657874
Ptpn3	-0.524228967
Knstrn	1.134872304
