gene	P43_HG	P56_bulge	P56_HG	P69_bulge	P69_HG
2410002O22Rik	0.127978172444503	0.194390437698274	-0.279836232175248	-0.105997141624056	-0.387264003065707
2410004B18Rik	-0.55701021226202	-0.139202266973681	-0.19647442922264	-0.0280862775428368	0.227141317995006
2410015M20Rik	0.133317686729051	0.138908047946172	0.0521832484315612	0.0744557797935341	-0.011611059733651
2410016O06Rik	0.253767889703857	0.148099944572524	0.447616723058557	-0.457285649419405	-1.10574143079583
2410017P09Rik	0.102803971875483	-0.189231025002266	0	-0.404534289724028	-0.684047499475501
2410018L13Rik	-0.37333057866732	-0.113918854976616	-0.320652962628884	-0.207743968546685	-0.166549058338318
2410018M08Rik	-0.601138943904738	0.239779140435099	0.549049275934653	0.0229069304658704	-0.191567837030508
2410022L05Rik	-0.746513834494759	0.160550860082142	-0.397071979082282	-0.306540014529499	-0.701816228790348
2410042D21Rik	0.17701480721365	0.00854599800441491	0	0.469564546154073	0.568672749903653
2410066E13Rik	-0.0916506441352665	-0.274058851145185	-0.0521971494752638	-0.0916506441352665	0.226840700486301
2410075B13Rik	-0.80191749664741	0.442319635531336	-0.157783367421044	-0.0602809705574394	-0.182779055492766
2410091C18Rik	0.0584937841332307	0.0853521449338794	-0.0800411786034632	-0.206589422230521	-0.405081680020021
2410133F24Rik	0.587384425847041	0.392735240651496	0.617729011721772	0.392735240651496	0.405690901908744
2500003M10Rik	-0.149910841251025	-0.133547915721997	0.279221404180784	0.0241149446498063	-0.529870728115882
2510002D24Rik	0.0244590604810355	0.0637336897629552	0.200056972719707	0.204172523229259	0.605754793802127
2510009E07Rik	-0.887655565982095	0.00500573559682493	-0.108212760400393	0.0478052414687156	-0.264238739533855
2510039O18Rik	0.179514335391725	0.0271067586808909	-0.883716420502677	-0.0844158100595522	-0.3236087387891
2600001M11Rik	0.779244566555862	0.192006656599339	0.0117004738347362	-0.249987929460264	0
2610001J05Rik	-0.0292229055209459	-0.016406795039799	-0.139916125932334	0.223793048268296	0.155798680929232
2610002J02Rik	-0.019335853895516	0.316449056183527	-0.0129556612572479	-0.151405887221738	-0.917645212489285
2610002M06Rik	0	-0.293255261733524	-0.717784151308089	0.0196322682481478	-0.768772772023739
2610005L07Rik	0.430211793845618	-0.0719164848435678	0.388846295224258	0.409098641436334	0.364604115641903
2610015P09Rik	0.243396839686287	0.0669480353427119	0.121925342693487	0.0538712735639866	0.150680596238471
